NAME	s0_1_H52JYCCXY_L2	s0_2_H52JYCCXY_L2	s0_3_H52JYCCXY_L2	s8_1_H52JYCCXY_L2	s8_2_H52JYCCXY_L1	s8_3_H52JYCCXY_L1
ABI3BP	1477.23760208463	1374.79105747635	1560.39158913933	2441.69338663901	2413.22778456641	2397.22718989339
TROAP	143.801890468415	141.534780751629	136.698808912271	19.5484411435071	30.8217361321159	17.5749793980454
AURKB	290.405116465436	306.244847240368	279.473120442864	104.258352765371	90.1821168310059	96.0765540426482
GTSE1	294.140230503577	304.589469687717	283.523455521746	85.6407897715551	106.163757788399	100.76321521546
CPD	4707.17746656676	4616.84799434263	4771.2947229231	6965.76119413638	6746.53557558538	6869.47361404935
HEG1	8009.0182762831	7949.12300782836	8346.72801380627	11552.197837663	11628.9268880691	11724.8545890827
OLR1	238.113519931467	239.202056358017	239.982353423764	593.900259502741	519.403331115287	500.301080197692
SLC8A1	908.566489777715	903.836143747248	936.639986991484	1584.35461077377	1503.41579577766	1509.1048976455
TBL2	59.7618246102505	60.4212806717482	73.9186151895982	216.89460887796	237.44152279556	221.444740415372
COL4A1	6494.42953381707	6831.74315978918	6351.93798745684	9391.62965223064	9666.6096876577	9802.15184293652
HMGA1	21060.4405040561	21663.9260315389	21624.7389861515	14563.5886519128	15277.3072094855	15428.4885808975
FRMD6	7419.80403676642	7561.76466050811	7642.98229385051	10873.5876665384	10526.1936620089	10750.0290651378
PCYOX1	2650.0634100608	2516.17388002897	2550.698515926	4158.23269466888	3781.94117798889	3927.42206281655
PHGDH	1164.42180139035	1103.30913884165	1191.81109696106	648.822070334499	662.096553949157	665.505886539319
GABARAPL1	3639.86863016807	3269.37066648501	3375.95428824822	5363.71989851848	5041.06617627496	5315.84543526213
FGF2	4554.97156951253	4841.15165272679	4775.34505800199	7307.39347507291	6860.69015385248	6815.57701056201
RRM2	637.770722012517	523.926995413927	592.361505286506	280.194323056936	237.44152279556	267.13968685029
COL7A1	1467.89981698928	1612.33773628172	1484.44780641029	888.988632954729	928.076721311491	899.838945179925
PTPLB	1172.82580797617	1128.13980213141	1104.72889276509	1915.7472320637	1813.91624866416	1782.1029109618
TXNRD1	13331.5557806335	12898.7018902538	13702.2835718581	19527.9618242139	18454.2291226588	18922.3944852289
TNC	21319.0971511973	21524.8743171162	21786.7523893068	14974.1059159265	15599.2231201987	15667.5083007109
PERP	7755.96430019907	7432.64521140136	7708.80023888234	11473.0731949393	10544.4583945317	11279.6217776655
UBE2C	213.835278683553	245.82356656862	217.705510489912	64.2305923286663	68.4927469602577	72.6432481785877
FLRT2	2044.04115737247	1854.85054774504	2019.09203682272	3112.85653256609	2980.57603855388	3068.59140289873
KITLG	2063.65050607271	1950.03475702245	2039.34371221713	3353.02309518632	3002.26540842463	3086.16638229677
PRC1	508.909287696664	462.678025965853	564.009159734331	247.613587817757	195.204328836734	208.556422190139
CIT	339.8953774708	351.76772993826	375.668578566314	133.115575405787	155.250226443251	139.42816989116
SIRPA	11955.1662575787	12153.781991561	12462.8810377202	16606.8661904842	17437.1118302989	17844.4624154821
FNDC3B	2269.08177817045	2317.52857371089	2392.7354478496	3630.42478379418	3357.2861468353	3503.27922667705
COL8A1	6553.25757991778	6932.72119050087	6525.08981207905	9853.34521447729	9513.64255277979	9331.14239506891
KIF20A	227.84195632658	205.266816528679	253.145942430131	66.0923486280479	62.7850180469029	79.6732399378058
COL11A1	1684.53643120144	1609.85466995274	1749.74475407706	2684.65258370831	2490.85289778804	2637.41857500001
STAT1	4082.47964368774	3641.8306158314	3959.20253960724	5902.69834718946	5673.48253987468	5833.72149485787
CRIM1	18037.7994686908	18828.2642838483	19097.3298969291	26678.9677701388	25825.1902413652	25558.7067059308
CHTF18	507.041730677594	603.385117941157	533.631646642716	171.28157954311	262.555530014321	235.504723933808
UHRF1	824.52642391955	997.364975472009	933.602235682322	502.674200833041	496.572415461868	452.262803176368
LAMC1	24200.7376316229	23529.5365333762	24739.4466618118	32656.1363693035	33637.9295779652	33449.8724556532
TNFRSF10D	3815.41898996068	3684.87043220032	3725.2956888018	5602.02470483933	5249.96905450375	5341.6220717126
SEPP1	1785.38451023123	2244.69196139426	1731.51824622209	3659.2820064346	3333.31368539921	3229.10954806754
FOSB	444.478570538738	512.339352545372	468.826285380602	202.931436632598	220.318336055495	231.989728054199
TPX2	854.407336224675	753.19678645604	821.205437243344	460.784684096954	421.230393805585	422.971170846293
CLMP	2456.77125858702	2205.79058890697	2341.09367559385	3642.52619974016	3486.28082027711	3445.8676273101
ATP2B4	30454.2523099798	30619.5185913788	32354.0766101101	42625.8413524922	42617.328704455	43434.8040843294
HIST1H1C	1046.76570918892	1013.09106222219	1056.12487181851	1594.59427042037	1627.84428608879	1677.82469986673
MAOA	1897.43793137545	1912.78876208781	2063.64572269043	2920.16475558009	2978.29294698854	2898.69993538429
MCM5	1193.36893518594	1282.91760330424	1242.44028544708	734.462860106054	772.826494868241	755.724114115952
NRK	1889.96770329917	1826.70912934998	1980.61385357334	3082.13755362629	2748.84224467167	2913.93158419593
